From,To
0.633,0.266
0.281,0.333
0.213,0.306
0.391,0.443
0.358,0.24
0.323,0.227
0.44,0.199
0.372,0.285
0.22,0.341
0.508,0.183
0.625,0.358
0.44,0.193
0.406,0.323
0.307,0.444
0.285,0.367
0.514,0.187
0.494,0.249
0.481,0.296
0.293,0.193
0.356,0.247
0.5,0.429
0.398,0.228
0.289,0.191
0.378,0.315
0.229,0.354
0.354,0.243
0.475,0.283
0.286,0.385
0.248,0.349
0.521,0.281
0.31,0.207
0.437,0.234
0.241,0.583
0.319,0.258
0.364,0.343
0.271,0.1
0.417,0.166
0.309,0.406
0.231,0.511
0.362,0.236
0.323,0.144
0.208,0.291
0.492,0.107
0.347,0.265
0.333,0.183
0.393,0.21
0.407,0.222
0.343,0.322
0.275,0.263
0.139,0.268
0.5,0.218
0.375,0.4
0.579,0.417
0.188,0.193
0.273,0.396
0.35,0.458
0.625,0.157
0.333,0.227
0.374,0.356
0.429,0.256
0.6,0.329
0.443,0.205
0.355,0.135
0.362,0.162
0.25,0.345
0.389,0.25
0.472,0.318
0.281,0.472
0.75,0.5
0.571,0.2