E_lag1_F,E_lag2_F,E_lag3_F,E_lag4_F,E_lag5_F,E_lag1_B,E_lag2_B,E_lag3_B,E_lag4_B,E_lag5_B,P_lag1_F,P_lag2_F,P_lag3_F,P_lag4_F,P_lag5_F,P_lag1_B,P_lag2_B,P_lag3_B,P_lag4_B,P_lag5_B,1_F,1_B
0.256756757,0.060606061,0.1,0.076923077,0.092592593,0.127272727,0.089285714,0.054545455,0.090909091,0.022727273,0.151515152,0.130434783,0.063492063,0.098039216,0.153846154,0.158730159,0.109375,0.015873016,0.086206897,0.04,0.204135955,0.143001443
0.203389831,0.107142857,0.06122449,0.192307692,0.041666667,0.293333333,0.083333333,0.055555556,0.032786885,0.052631579,0.2125,0.076923077,0.067567568,0.117647059,0.06779661,0.1625,0.134146341,0.064935065,0.0625,0.033333333,0.207944916,0.227916667
0.084210526,0.1375,0.12345679,0.136986301,0.015873016,0.113636364,0.180722892,0.116883117,0.046153846,0.09375,0.09375,0.117647059,0.074074074,0.104477612,0.102941176,0.103448276,0.135802469,0.148648649,0.112676056,0.083333333,0.088980263,0.10854232
0.247311828,0.079545455,0.127906977,0.039473684,0.072463768,0.210526316,0.086419753,0.071428571,0.161290323,0.204081633,0.142857143,0.179775281,0.08045977,0.095890411,0.074626866,0.154639175,0.131868132,0.075,0.102941176,0.097222222,0.195084486,0.182582746
0.186813187,0.069767442,0.054054054,0.109589041,0.115942029,0.138888889,0.095890411,0.15942029,0.080645161,0.09375,0.238636364,0.085365854,0.1125,0.097222222,0.06557377,0.144578313,0.092105263,0.084507042,0.090909091,0.107142857,0.212724776,0.141733601
0.138297872,0.109756098,0.142857143,0.101449275,0.155172414,0.146067416,0.06097561,0.116883117,0.037974684,0.086956522,0.206521739,0.175824176,0.064102564,0.14084507,0.080645161,0.1125,0.059701493,0.076923077,0.103448276,0.148148148,0.172409806,0.129283708
0.348214286,0.126126126,0.103773585,0.14,0.079545455,0.164705882,0.08,0.079365079,0.140350877,0.176470588,0.245614035,0.158878505,0.098039216,0.086956522,0.0875,0.134831461,0.08974359,0.071428571,0.06557377,0.13559322,0.296914161,0.149768672
0.284313725,0.171717172,0.072916667,0.081395349,0.04,0.138888889,0.059701493,0.12962963,0.08,0.083333333,0.210526316,0.145833333,0.06741573,0.139534884,0.102564103,0.135802469,0.088235294,0.181818182,0.104166667,0.042553191,0.247420021,0.137345679
0.19047619,0.157407407,0.095744681,0.034883721,0.035294118,0.164835165,0.103896104,0.144927536,0.096774194,0.145454545,0.102040816,0.113402062,0.097826087,0.136363636,0.095238095,0.195402299,0.178082192,0.071428571,0.166666667,0.086956522,0.146258503,0.180118732
0.134020619,0.126436782,0.104651163,0.106666667,0.02739726,0.151162791,0.155844156,0.098591549,0.096774194,0.152542373,0.252631579,0.078651685,0.074074074,0.1,0.095890411,0.118421053,0.102564103,0.205882353,0.053571429,0.14893617,0.193326099,0.134791922
0.21686747,0.113924051,0.126582278,0.12987013,0.083333333,0.0625,0.107142857,0.076923077,0.071428571,0.153846154,0.269662921,0.164705882,0.12195122,0.025641026,0.040540541,0.138461538,0.112903226,0.089285714,0.148148148,0.06122449,0.243265196,0.100480769
0.184782609,0.176470588,0.08974359,0.152777778,0.089552239,0.112676056,0.075757576,0.033333333,0.017857143,0.098039216,0.173913043,0.115789474,0.126436782,0.109756098,0.065789474,0.206185567,0.12345679,0.097222222,0.030769231,0.066666667,0.179347826,0.159430812
0.18,0.144329897,0.06741573,0.111111111,0.083333333,0.074074074,0.136363636,0.102941176,0.06779661,0.122807018,0.087912088,0.170212766,0.097826087,0.103448276,0.074074074,0.104166667,0.081081081,0.154929577,0.049180328,0.142857143,0.133956044,0.089120371
0.195121951,0.153846154,0.128571429,0.15942029,0.078125,0.090909091,0.1,0.090909091,0.045454545,0.025,0.145631068,0.099009901,0.107142857,0.12195122,0.069444444,0.101123596,0.098765432,0.101265823,0.106060606,0.140625,0.17037651,0.096016344
0.162790698,0.039473684,0.085714286,0.088235294,0.081967213,0.103448276,0.097560976,0.17721519,0.102941176,0.087719298,0.125,0.024691358,0.075,0.126760563,0.107692308,0.130952381,0.182926829,0.054794521,0.028571429,0.061538462,0.143895349,0.117200329
0.216494845,0.154761905,0.098765432,0.060606061,0.092307692,0.096385542,0.088607595,0.056338028,0.101449275,0.048387097,0.191489362,0.122222222,0.053333333,0.131578947,0.057971014,0.139534884,0.097560976,0.127906977,0.066666667,0.03125,0.203992104,0.117960213
0.203389831,0.109090909,0.066666667,0.120879121,0.078651685,0.125,0.121621622,0.061538462,0.104477612,0.1875,0.277777778,0.13559322,0.115044248,0.075471698,0.103092784,0.137931034,0.153846154,0.121212121,0.112903226,0.16,0.240583805,0.131465517
0.254237288,0.072727273,0.156862745,0.081632653,0.045454545,0.111111111,0.186046512,0.135135135,0.129032258,0.137931034,0.225806452,0.074074074,0.24,0.086956522,0.08,0.105263158,0.157894737,0.133333333,0.133333333,0.1,0.24002187,0.108187135
0.108108108,0.123287671,0.101694915,0.107142857,0.019607843,0.074074074,0.108108108,0.114285714,0.106060606,0.068965517,0.148148148,0.160493827,0.109589041,0.061538462,0.081967213,0.077922078,0.072463768,0.092307692,0.1,0.056603774,0.128128128,0.075998076
0.131578947,0.066666667,0.057971014,0.05,0.092592593,0.097560976,0.070422535,0.09375,0.15,0.137254902,0.25,0.12,0.060606061,0.186440678,0.037037037,0.097222222,0.081081081,0.044776119,0.101694915,0.058823529,0.190789474,0.097391599
0.142857143,0.078431373,0.098039216,0.021276596,0.086956522,0.039215686,0.163265306,0.195121951,0.054054054,0.066666667,0.204301075,0.130434783,0.160493827,0.04109589,0.078125,0.12987013,0.083333333,0.06557377,0.017857143,0.071428571,0.173579109,0.084542908
0.15,0.098901099,0.120481928,0.126582278,0.117647059,0.134831461,0.136363636,0.064935065,0.106060606,0.125,0.1625,0.08,0.027777778,0.051724138,0.080645161,0.126436782,0.103896104,0.136363636,0.229508197,0.137931034,0.15625,0.130634122
0.088607595,0.17721519,0.104477612,0.109090909,0.153846154,0.197368421,0.043478261,0.084507042,0.074626866,0.049180328,0.130952381,0.08,0.084507042,0.153846154,0.016129032,0.189873418,0.1,0.14084507,0.035714286,0.072727273,0.109779988,0.19362092
0.128571429,0.109375,0.127272727,0.065217391,0.051282051,0.063492063,0.112903226,0.1,0.086206897,0.084745763,0.108108108,0.074626866,0.071428571,0.094339623,0.06,0.147058824,0.089552239,0.125,0.072727273,0.08,0.118339769,0.105275444
0.071428571,0.153846154,0.169491525,0.111111111,0.137254902,0.098591549,0.074626866,0.070175439,0.185185185,0.083333333,0.1,0.101265823,0.089552239,0.086956522,0.080645161,0.123595506,0.146341463,0.048192771,0.084507042,0.046875,0.085714286,0.111093528
0.125,0.098765432,0.1125,0.169230769,0.081967213,0.12345679,0.067567568,0.085714286,0.111111111,0.12962963,0.176470588,0.083333333,0.097826087,0.025316456,0.116883117,0.204819277,0.086419753,0.095890411,0.164383562,0.118644068,0.150735294,0.164138034
0.126213592,0.113402062,0.095238095,0.063291139,0.077922078,0.211764706,0.11627907,0.115384615,0.063492063,0.12962963,0.183673469,0.08,0.085106383,0.051948052,0.083333333,0.075949367,0.108108108,0.089552239,0.1875,0.169811321,0.154943531,0.143857037
0.174418605,0.092105263,0.074626866,0.071428571,0.096774194,0.059701493,0.074626866,0.063492063,0.068965517,0.12244898,0.1125,0.154929577,0.128571429,0.033898305,0.105263158,0.069767442,0.125,0.183098592,0.095890411,0.05,0.143459303,0.064734468
0.12371134,0.091954023,0.108433735,0.057142857,0.126984127,0.123595506,0.115789474,0.078947368,0.111111111,0.144736842,0.182692308,0.127659574,0.094117647,0.10989011,0.106666667,0.115789474,0.107526882,0.133333333,0.064102564,0.052631579,0.153201824,0.11969249
0.217821782,0.175257732,0.096774194,0.1,0.0875,0.21686747,0.098591549,0.121212121,0.084745763,0.083333333,0.194444444,0.2,0.076190476,0.082474227,0.079545455,0.244897959,0.064102564,0.106666667,0.046875,0.13559322,0.206133113,0.230882715
0.126315789,0.117021277,0.088888889,0.061728395,0.081081081,0.117647059,0.095890411,0.111111111,0.079365079,0.096153846,0.201923077,0.164948454,0.088888889,0.051948052,0.060606061,0.155844156,0.028571429,0.042253521,0.123076923,0.126984127,0.164119433,0.136745608
0.153061224,0.08988764,0.154761905,0.068493151,0.112903226,0.058823529,0.072289157,0.128571429,0.081081081,0.178571429,0.14,0.114583333,0.1125,0.106666667,0.114754098,0.163043478,0.061728395,0.170731707,0.043478261,0.112676056,0.146530612,0.110933504
0.204819277,0.077922078,0.054054054,0.089552239,0.081632653,0.125,0.119047619,0.012658228,0.083333333,0.12,0.178571429,0.053333333,0.142857143,0.137931034,0.094339623,0.155555556,0.123595506,0.070588235,0.092105263,0.132352941,0.191695353,0.140277778
0.235849057,0.112244898,0.142857143,0.066666667,0.109589041,0.066666667,0.111111111,0.071428571,0.029850746,0.147540984,0.126436782,0.186046512,0.115384615,0.03125,0.046875,0.114942529,0.082191781,0.164179104,0.073529412,0.032786885,0.18114292,0.090804598
0.105769231,0.12244898,0.092783505,0.155555556,0.129411765,0.151515152,0.076923077,0.186666667,0.125,0.115384615,0.224489796,0.161616162,0.104166667,0.087912088,0.044444444,0.197802198,0.119047619,0.065789474,0.130434783,0.155172414,0.165129514,0.174658675
0.152941176,0.12195122,0.128571429,0.079365079,0.121212121,0.125,0.109589041,0.090909091,0.0625,0.055555556,0.146067416,0.071428571,0.090909091,0.109589041,0.086956522,0.138888889,0.082191781,0.101694915,0.145454545,0.117647059,0.149504296,0.131944445
0.276595745,0.050632911,0.113924051,0.150684932,0.111111111,0.103448276,0.115789474,0.086419753,0.037974684,0.085714286,0.171717172,0.161616162,0.108695652,0.120481928,0.125,0.138613861,0.147368421,0.126582278,0.055555556,0.074626866,0.224156459,0.121031069
0.170454545,0.104651163,0.092105263,0.171428571,0.121212121,0.107142857,0.151898734,0.090909091,0.1,0.105263158,0.14953271,0.101010101,0.108433735,0.115384615,0.142857143,0.18556701,0.129032258,0.093023256,0.113924051,0.053333333,0.159993628,0.146354934
0.333333333,0.103448276,0.104651163,0.058139535,0.08974359,0.120689655,0.094339623,0.153846154,0.114285714,0.172413793,0.38,0.108695652,0.102272727,0.050632911,0.082191781,0.161290323,0.05,0.098039216,0.078431373,0.106382979,0.356666667,0.140989989
0.109756098,0.08,0.056338028,0.181818182,0.083333333,0.061728395,0.125,0.060606061,0.047619048,0.055555556,0.224719101,0.115384615,0.055555556,0.090909091,0.06,0.051948052,0.067567568,0.104477612,0.076923077,0.112903226,0.1672376,0.056838224
0.217391304,0.111111111,0.073170732,0.142857143,0.067567568,0.128205128,0.051282051,0.074626866,0.101694915,0.037037037,0.172413793,0.11627907,0.108108108,0.044117647,0.083333333,0.206896552,0.113924051,0.092105263,0.108108108,0.090909091,0.194902549,0.16755084
0.054794521,0.038461538,0.1,0.076923077,0.094339623,0.131578947,0.115942029,0.125,0.126984127,0.1,0.081081081,0.146666667,0.092307692,0.066666667,0.098360656,0.095238095,0.09375,0.070422535,0.047619048,0.053571429,0.067937801,0.113408521
0.136986301,0.175675676,0,0.094339623,0.086956522,0.136363636,0.081967213,0.092307692,0.137254902,0.127659574,0.0875,0.112676056,0.092307692,0.104477612,0.083333333,0.1625,0.066666667,0.181818182,0.050847458,0.0625,0.112243151,0.149431818
0.157894737,0.107142857,0.101265823,0.095890411,0.078125,0.119047619,0.105263158,0.082191781,0.087719298,0.145454545,0.171717172,0.068965517,0.103896104,0.146666667,0.094594595,0.068493151,0.109589041,0.130434783,0.188679245,0.1,0.164805955,0.093770385
0.21875,0.102272727,0.139240506,0.02739726,0.117647059,0.151898734,0.113924051,0.119402985,0.158730159,0.14,0.2,0.105882353,0.136986301,0.104477612,0.048387097,0.194444444,0.092307692,0.086206897,0.12244898,0.152173913,0.209375,0.173171589
0.15625,0.141304348,0.046511628,0.077922078,0.083333333,0.188888889,0.107142857,0.136986301,0.133333333,0.109375,0.163636364,0.099099099,0.085106383,0.06741573,0.120481928,0.169642857,0.112244898,0.094736842,0.060240964,0.119402985,0.159943182,0.179265873
0.142857143,0.073529412,0.076923077,0.076923077,0.107142857,0.150684932,0.112903226,0.098360656,0.142857143,0.085106383,0.090909091,0.073529412,0.06557377,0.14,0.055555556,0.218390805,0.04,0.136986301,0.136363636,0.13559322,0.116883117,0.184537869
0.154761905,0.075949367,0.037974684,0.04109589,0.081081081,0.086956522,0.215384615,0.105263158,0.06,0.081081081,0.179775281,0.098765432,0.098765432,0.093333333,0.059701493,0.086419753,0.136986301,0.111111111,0.060606061,0.157894737,0.167268593,0.086688138
0.212765957,0.159090909,0.037974684,0.095890411,0.123076923,0.134831461,0.10989011,0.082352941,0.073529412,0.047619048,0.155339806,0.12371134,0.09375,0.115384615,0.070422535,0.076923077,0.174418605,0.066666667,0.078125,0.09375,0.184052882,0.105877269
0.108433735,0.129411765,0.081081081,0.116666667,0.039215686,0.177777778,0.075,0.067567568,0.086956522,0.161764706,0.09,0.108910891,0.102272727,0.064935065,0.058823529,0.145833333,0.113636364,0.135802469,0.103896104,0.161764706,0.099216868,0.161805556
0.101265823,0.116883117,0.15,0.138461538,0.076923077,0.170731707,0.090909091,0.017241379,0.132075472,0.111111111,0.189473684,0.131868132,0.077777778,0.135135135,0.090909091,0.161616162,0.101265823,0.053333333,0.082191781,0.121212121,0.145369754,0.166173935
0.094339623,0.083333333,0.065217391,0.073170732,0.097560976,0.2,0.076923077,0.044444444,0.106382979,0.125,0.184615385,0.126984127,0.034482759,0.037735849,0.090909091,0.166666667,0.090909091,0.056603774,0.037735849,0.06,0.139477504,0.183333334
0.131147541,0.13559322,0.070175439,0.092592593,0.057692308,0.24137931,0.074074074,0.085106383,0.093023256,0.027027027,0.12987013,0.106666667,0.098360656,0.06779661,0.105263158,0.103896104,0.123076923,0.131147541,0.051724138,0.076923077,0.130508836,0.172637707
0.188888889,0.091954023,0.038461538,0.08974359,0.109589041,0.138888889,0.069444444,0.112676056,0.094339623,0.06122449,0.188235294,0.093023256,0.134146341,0.038961039,0.055555556,0.189189189,0.109375,0.115384615,0.130434783,0.068181818,0.188562092,0.164039039
0.138888889,0.046875,0.061538462,0.06557377,0.065217391,0.115942029,0.125,0.126984127,0.018518519,0.078431373,0.142857143,0.136986301,0.114285714,0.116666667,0.035087719,0.097222222,0.087719298,0.035087719,0.127659574,0.108695652,0.140873016,0.106582126
0.168831169,0.045454545,0.068965517,0.081967213,0.075471698,0.09375,0.085714286,0.098360656,0.056603774,0.041666667,0.130434783,0.037974684,0.108108108,0.141025641,0.15625,0.093333333,0.08974359,0.097222222,0.064516129,0.096153846,0.149632976,0.093541667
0.405063291,0.152777778,0.084507042,0.029411765,0.044776119,0.085106383,0.162790698,0.028571429,0.129032258,0.16,0.204819277,0.077922078,0.083333333,0.06557377,0.068965517,0.183098592,0.106060606,0.078125,0.105263158,0.081632653,0.304941284,0.134102488
0.213592233,0.116504854,0.12371134,0.053763441,0.097560976,0.139240506,0.068493151,0.158730159,0.098039216,0.108695652,0.174311927,0.133333333,0.106796117,0.086021505,0.057471264,0.204301075,0.1625,0.092105263,0.074626866,0.086206897,0.19395208,0.171770791
0.21875,0.131313131,0.097826087,0.095238095,0.065789474,0.184782609,0.103896104,0.1125,0.069444444,0.079365079,0.244897959,0.125,0.08045977,0.102564103,0.038961039,0.189873418,0.109589041,0.119402985,0.092307692,0.076923077,0.23182398,0.187328014
0.119047619,0.102564103,0.074074074,0.08,0.042253521,0.154929577,0.111111111,0.12244898,0.142857143,0.108108108,0.2,0.093457944,0.151515152,0.123595506,0.075,0.127659574,0.118421053,0.128571429,0.177419355,0.116666667,0.15952381,0.141294576
0.169014085,0.085714286,0.104477612,0.03125,0.06557377,0.119402985,0.107692308,0.080645161,0.075471698,0.041666667,0.117021277,0.137254902,0.06097561,0.069444444,0.104477612,0.216494845,0.1,0.123595506,0.113924051,0.123076923,0.143017681,0.167948915
0.130952381,0.127906977,0.084337349,0.037037037,0.067567568,0.2,0.19047619,0.12987013,0.09375,0.08,0.19266055,0.12745098,0.08045977,0.082352941,0.101265823,0.149425287,0.0875,0.097222222,0.101449275,0.096153846,0.161806466,0.174712644
0.144578313,0.101265823,0.120481928,0.013333333,0.101449275,0.25,0.126760563,0.048387097,0.068965517,0.111111111,0.245762712,0.065420561,0.07,0.153061224,0.045977011,0.1,0.164383562,0.183333333,0.089285714,0.127659574,0.195170513,0.175
0.074468085,0.12244898,0.125,0.114942529,0.078947368,0.191011236,0.098765432,0.112676056,0.116666667,0.05,0.112068966,0.105769231,0.112244898,0.103773585,0.094117647,0.168316832,0.182795699,0.181818182,0.080645161,0.086206897,0.093268526,0.179664034
0.151515152,0.107692308,0.048387097,0.053571429,0.111111111,0.236842105,0.073529412,0.032786885,0.074074074,0.088888889,0.166666667,0.164383562,0.046875,0.109375,0.068965517,0.169014085,0.161290323,0.076923077,0.087719298,0.038461538,0.15909091,0.202928095
0.118644068,0.070175439,0.142857143,0.02,0.065217391,0.096774194,0.102040816,0.14893617,0.097560976,0.128205128,0.123287671,0.102564103,0.071428571,0.149253731,0.084745763,0.15942029,0.032786885,0.169491525,0.040816327,0.125,0.12096587,0.128097242
0.148148148,0.126582278,0.078947368,0.08974359,0.086956522,0.098360656,0.102040816,0.12244898,0.05,0.142857143,0.114942529,0.096385542,0.082191781,0.075949367,0.086956522,0.152941176,0.101449275,0.183333333,0.039215686,0.130434783,0.131545339,0.125650916
0.3,0.103092784,0.079545455,0.085365854,0.052631579,0.142857143,0.030769231,0.155172414,0.096153846,0.069767442,0.260162602,0.148760331,0.111111111,0.132075472,0.057692308,0.215189873,0.166666667,0.094339623,0.146341463,0.090909091,0.280081301,0.179023508
0.26,0.078431373,0.083333333,0.12244898,0,0.153846154,0.138888889,0.096774194,0.037037037,0.05,0.134328358,0.121212121,0.183333333,0.056603774,0.08,0.196721311,0.125,0.098039216,0.020833333,0.05,0.197164179,0.175283733
0.302083333,0.087912088,0.058823529,0.084337349,0.065789474,0.149253731,0.096774194,0.111111111,0.093023256,0.214285714,0.242718447,0.053191489,0.085106383,0.060240964,0.097560976,0.148148148,0.170731707,0.106666667,0.078125,0.102040816,0.27240089,0.14870094