E_to_forwards,E_to_backwards,E_from_forwards,E_from_backwards,P_to_forwards,P_to_backwards,P_from_forwards,P_from_backwards,E_to,E_from,P_to,P_from
0.1875,0.28,0.875,0.1,0.466666667,0.75,0.388888889,0.416666667,0.23375,0.4875,0.608333334,0.402777778
0.266666667,0.2,0.425,0.5,0.14,0.394047619,0.5,0.366666667,0.233333334,0.4625,0.26702381,0.433333334
0.066666667,0.466666667,0.2,0.166666667,0.166666667,0.14,0.183333333,0.1,0.266666667,0.183333334,0.153333334,0.141666667
0.366666667,0.533333333,0.275,0.4375,0.15,0.12,0.5,0.566666667,0.45,0.35625,0.135,0.533333334
0.16,0.269047619,0.4625,0.05,0.44,0.3125,0.603333333,0.106666667,0.21452381,0.25625,0.37625,0.355
0.146666667,0.236666667,0.28,0.433333333,0.3,0.2,0.416666667,0.25,0.191666667,0.356666667,0.25,0.333333334
0.206349206,0.142857143,0.286666667,0.38,0.138181818,0.144444444,0.246666667,0.3,0.174603175,0.333333334,0.141313131,0.273333334
0.214285714,0.263333333,0.333333333,0.666666667,0.566666667,0.125,0.266666667,0.25,0.238809524,0.5,0.345833334,0.258333334
0.097142857,0.5,0.319047619,0.106666667,0.133333333,0.45,0.17,0.158571429,0.298571429,0.212857143,0.291666667,0.164285715
0.105,0.273333333,0.645833333,0.54,0.133333333,0.433333333,0.277777778,0.22,0.189166667,0.592916667,0.283333333,0.248888889
0.106666667,0.308333333,0.9,0.333333333,0.233333333,0.2,0.125,0.533333333,0.2075,0.616666667,0.216666667,0.329166667
0.233333333,0.0625,0.55,0.1,0.25,0.14,0.5625,0.106666667,0.147916667,0.325,0.195,0.334583334
0.204285714,0.276904762,0.555555556,0.2,0.133333333,0.475,0.25,0.173333333,0.240595238,0.377777778,0.304166667,0.211666667
0.383333333,0.3,0.4,0.25,0.19,0.1,0.333333333,0.15,0.341666667,0.325,0.145,0.241666667
0.2,0.666666667,0.22,0.233333333,0.458333333,0.133333333,0.033333333,0.2,0.433333334,0.226666667,0.295833333,0.116666667
0.236666667,0.05,0.416666667,0.333333333,0.375,0,0.116666667,0.45,0.143333334,0.375,0.1875,0.283333334
0.195555556,0.3,0.458333333,0.3,0.251111111,0.183333333,0.227142857,0.273809524,0.247777778,0.379166667,0.217222222,0.250476191
0.15,0.3,0.233333333,0.3125,0.125,0.666666667,0.625,0,0.225,0.272916667,0.395833334,0.3125
0.375,0.083333333,0.313333333,0.3,0.316666667,0.0625,0.066666667,0.286666667,0.229166667,0.306666667,0.189583334,0.176666667
0.3,0.291666667,0.25,0.35,0.283333333,0.3,0.25,0.15,0.295833334,0.3,0.291666667,0.2
0.175,0.375,0,0.625,0.266666667,0.45,0.361904762,0.266666667,0.275,0.3125,0.358333334,0.314285715
0.185238095,0.242857143,0.261904762,0.523333333,0.154285714,0.04,0.066666667,0.357142857,0.214047619,0.392619048,0.097142857,0.211904762
0.133333333,0.166666667,0.473333333,0.1,0.273333333,0.066666667,0.166666667,0.233333333,0.15,0.286666667,0.17,0.2
0.266666667,0.366666667,0.3,0.223333333,0.416666667,0.266666667,0.116666667,0.2,0.316666667,0.261666667,0.341666667,0.158333334
0.266666667,0.291666667,0.25,0.25,0.233333333,0.173809524,0.296666667,0.22,0.279166667,0.25,0.203571429,0.258333334
0.219047619,0.156666667,0.15,0.313333333,0.24,0.216666667,0.166666667,0.366666667,0.187857143,0.231666667,0.228333334,0.266666667
0.23047619,0.25,0.5,0.1,0.13,0.25,0.125,0.183333333,0.240238095,0.3,0.19,0.154166667
0.206666667,0.444444444,0.433333333,0.1875,0.25,0.416666667,0.05,0.25,0.325555556,0.310416667,0.333333334,0.15
0.14375,0.323809524,0.208333333,0.3,0.141666667,0.2,0.35,0.106666667,0.233779762,0.254166667,0.170833334,0.228333334
0.17478355,0.161904762,0.306666667,0.366666667,0.235238095,0.061904762,0.286666667,0.2,0.168344156,0.336666667,0.148571429,0.243333334
0.15,0.3,0.133333333,0.263333333,0.2,0.4,0.183333333,0.25,0.225,0.198333333,0.3,0.216666667
0.357142857,0.09,0.333333333,0.6,0.146666667,0.433333333,0.175,0.17,0.223571429,0.466666667,0.29,0.1725
0.208333333,0.729166667,0.416666667,0.04,0.2,0.2,0.163333333,0.385714286,0.46875,0.228333334,0.2,0.27452381
0.25,0.311904762,0.253333333,0.243809524,0.166666667,0.8,0.09,0.316666667,0.280952381,0.248571429,0.483333334,0.203333334
0.25,0.55,0.28,0.298333333,0.14,0.28,0.11547619,0.156666667,0.4,0.289166667,0.21,0.136071429
0.2,0,0.301904762,0.19,0.2,0.116666667,0.375,0.666666667,0.1,0.245952381,0.158333334,0.520833334
0.250238095,0.158333333,0.56,0.2,0.333333333,0.35,0.346666667,0.174603175,0.204285714,0.38,0.341666667,0.260634921
0.316666667,0.326666667,0.233333333,0.192857143,0.316666667,0.466666667,0.133333333,0.293333333,0.321666667,0.213095238,0.391666667,0.213333333
0.333333333,0.5,0.133333333,0.458333333,0.286666667,1,0.35,0.35,0.416666667,0.295833333,0.643333334,0.35
0.18,0.341666667,0.266666667,0.3,0.266666667,0.456666667,0.166666667,0.266666667,0.260833334,0.283333334,0.361666667,0.216666667
0.273333333,0.066666667,0.253333333,0.3,0.1,0.423333333,0.166666667,0.228571429,0.17,0.276666667,0.261666667,0.197619048
0.1,0.533333333,0.14,0.18,0.375,0.066666667,0.133333333,0.19,0.316666667,0.16,0.220833334,0.161666667
0,0.333333333,0.833333333,0.1,0.35,0.25,0.146666667,0.19,0.166666667,0.466666667,0.3,0.168333334
0.216666667,0.34,0.3,0.373333333,0.283333333,0.15,0.433333333,0.37,0.278333334,0.336666667,0.216666667,0.401666667
0.153333333,0.337142857,0.466666667,0.5,0.107142857,0.23,0.233333333,0.533333333,0.245238095,0.483333334,0.168571429,0.383333333
0.15,0.326666667,0.225,0.316666667,0.118571429,0.233333333,0.208333333,0.085714286,0.238333334,0.270833334,0.175952381,0.14702381
0.3,0.166666667,0.15,0.6,0.277777778,0.25,0,0.31,0.233333334,0.375,0.263888889,0.155
0.266666667,0.2,0.111111111,0.5,0.226666667,0.291666667,0.1125,0.16,0.233333334,0.305555556,0.259166667,0.13625
0.259047619,0.133333333,0.237619048,0.166666667,0.18,0.5,0.333333333,0.033333333,0.196190476,0.202142858,0.34,0.183333333
0.266666667,0.166666667,0.208333333,0.166666667,0.08,0.266666667,0.333333333,0.25,0.216666667,0.1875,0.173333334,0.291666667
0.296666667,0.2,0.583333333,0.375,0.33,0,0.1,0.19,0.248333334,0.479166667,0.165,0.145
0.266666667,0.625,0.333333333,0.333333333,0,0.6,0,0.5,0.445833334,0.333333333,0.3,0.25
0.206666667,0.25,0.25,0.666666667,0,0.4375,0.125,0.3,0.228333334,0.458333334,0.21875,0.2125
0.04,0.275,0,0.233333333,0.222222222,0.4,0,0.666666667,0.1575,0.116666667,0.311111111,0.333333334
0.5,0.375,0.375,0.26,0.5,0.083333333,0.5,0.133333333,0.4375,0.3175,0.291666667,0.316666667
0.25,0.444444444,0.25,0.183333333,0.186666667,0.106666667,0.208333333,0.45,0.347222222,0.216666667,0.146666667,0.329166667
0.233333333,0,0.5,0.5,0.133333333,0.666666667,0.213333333,0.04,0.116666667,0.5,0.4,0.126666667
0.275714286,0.15,0.4375,0.375,0.171666667,0.46,0.152380952,0.2,0.212857143,0.40625,0.315833334,0.176190476
0.313333333,0.216666667,0.333333333,0.12,0.458333333,0.416666667,0.263333333,0.307142857,0.265,0.226666667,0.4375,0.285238095
0.19,0.333333333,0.444444444,0.5,0.1,0.366666667,0.3,0.166666667,0.261666667,0.472222222,0.233333334,0.233333334
0.216666667,0.183333333,0.833333333,0.5,0.152380952,0.17,0.208333333,0.285714286,0.2,0.666666667,0.161190476,0.24702381
0.216666667,0.346666667,0.216666667,0.28,0.316666667,0.6,0.13,0.286666667,0.281666667,0.248333334,0.458333334,0.208333334
0.123809524,0.216666667,0.266666667,0.442857143,0.433333333,0.066666667,0.222222222,0.166666667,0.170238096,0.354761905,0.25,0.194444445
0.188888889,0.18,0.283333333,0.566666667,0.18,0.396666667,0.205,0.066666667,0.184444445,0.425,0.288333334,0.135833334
0.166666667,0.1875,0.25,0.333333333,0.14,0.25,0.5,0.1,0.177083334,0.291666667,0.195,0.3
0.25,0.5,0.8,0,0.336666667,0.233333333,0.5,0.366666667,0.375,0.4,0.285,0.433333334
0.416666667,0.133333333,0.666666667,0.25,0.146666667,0.2,0.283333333,0.406666667,0.275,0.458333334,0.173333334,0.345
0.416666667,0.333333333,0.383333333,0.1,0.16040404,0.216666667,0.274603175,0.333333333,0.375,0.241666667,0.188535354,0.303968254
0.666666667,0.5,0.5,1,0.48,0.555555556,0.625,0.3,0.583333334,0.75,0.517777778,0.4625
0.1,0.333333333,0.366666667,0.333333333,0.228571429,0.14,0.395833333,0.266666667,0.216666667,0.35,0.184285715,0.33125