subject,oddballtype,wordposition,SOA,normrec
4,E,m2,3,0.5
5,E,m2,3,-0.25
6,E,m2,3,0.5
7,E,m2,3,0
9,E,m2,3,0.5
10,E,m2,3,0
11,E,m2,3,-0.25
12,E,m2,3,0
14,E,m2,3,-0.5
15,E,m2,3,0
16,E,m2,3,0
17,E,m2,3,0.5
18,E,m2,3,0.25
19,E,m2,3,0.5
20,E,m2,3,0
21,E,m2,3,0.25
22,E,m2,3,-0.25
23,E,m2,3,-0.25
24,E,m2,3,-0.25
25,E,m2,3,-0.25
26,E,m2,3,-0.5
27,E,m2,3,0
28,E,m2,3,-0.25
29,E,m2,3,-0.25
30,E,m2,3,-0.75
31,E,m2,3,-0.25
32,E,m2,3,-0.5
33,E,m2,3,-0.25
34,E,m2,3,0.25
35,E,m2,3,0.25
36,E,m2,3,0.5
37,E,m2,3,0.25
38,E,m2,3,0
39,E,m2,3,0
40,E,m2,3,0.75
41,E,m2,3,0
42,E,m2,3,0.5
43,E,m2,3,0
44,E,m2,3,0.25
45,E,m2,3,0
46,E,m2,3,0.333333333333333
47,E,m2,3,0
48,E,m2,3,0.25
49,E,m2,3,-0.25
50,E,m2,3,0
51,E,m2,3,-0.25
52,E,m2,3,0.333333333333333
53,E,m2,3,-0.25
54,E,m2,3,-0.5
55,E,m2,3,-0.75
56,E,m2,3,0
57,E,m2,3,-0.5
58,E,m2,3,-0.5
59,E,m2,3,0
60,E,m2,3,-0.5
61,E,m2,3,0.5
62,E,m2,3,0.25
63,E,m2,3,0
64,E,m2,3,0.75
65,E,m2,3,-0.333333333333333
66,E,m2,3,0
67,E,m2,3,0.25
68,E,m2,3,-0.5
69,E,m2,3,0.25
70,E,m2,3,0
71,E,m2,3,0
72,E,m2,3,0
73,E,m2,3,-0.25
74,E,m2,3,0
75,E,m2,3,-0.25
4,E,m1,3,0.25
5,E,m1,3,0
6,E,m1,3,0.5
7,E,m1,3,0
9,E,m1,3,0
10,E,m1,3,0.25
11,E,m1,3,0
12,E,m1,3,-0.5
14,E,m1,3,-0.25
15,E,m1,3,0.25
16,E,m1,3,-0.25
17,E,m1,3,0
18,E,m1,3,0
19,E,m1,3,0
20,E,m1,3,0.25
21,E,m1,3,0.25
22,E,m1,3,0
23,E,m1,3,-0.25
24,E,m1,3,0
25,E,m1,3,0.25
26,E,m1,3,-0.5
27,E,m1,3,0
28,E,m1,3,-0.5
29,E,m1,3,0
30,E,m1,3,-0.75
31,E,m1,3,0.25
32,E,m1,3,-0.5
33,E,m1,3,-0.25
34,E,m1,3,0.25
35,E,m1,3,-0.25
36,E,m1,3,0.25
37,E,m1,3,0.25
38,E,m1,3,0
39,E,m1,3,0.25
40,E,m1,3,1
41,E,m1,3,-0.25
42,E,m1,3,0.5
43,E,m1,3,0.25
44,E,m1,3,0
45,E,m1,3,0
46,E,m1,3,0.333333333333333
47,E,m1,3,0.25
48,E,m1,3,0.25
49,E,m1,3,-0.25
50,E,m1,3,-0.25
51,E,m1,3,-0.25
52,E,m1,3,0
53,E,m1,3,0
54,E,m1,3,-0.5
55,E,m1,3,-0.5
56,E,m1,3,0.25
57,E,m1,3,0.5
58,E,m1,3,-0.25
59,E,m1,3,0
60,E,m1,3,-0.5
61,E,m1,3,-0.25
62,E,m1,3,0.25
63,E,m1,3,0
64,E,m1,3,0.75
65,E,m1,3,-0.333333333333333
66,E,m1,3,0
67,E,m1,3,-0.25
68,E,m1,3,-0.5
69,E,m1,3,-0.25
70,E,m1,3,0
71,E,m1,3,0.5
72,E,m1,3,0.25
73,E,m1,3,-0.25
74,E,m1,3,-0.25
75,E,m1,3,-0.25
4,E,odd,3,0.75
5,E,odd,3,0.25
6,E,odd,3,0.25
7,E,odd,3,-0.333333333333333
9,E,odd,3,0
10,E,odd,3,0.25
11,E,odd,3,0.25
12,E,odd,3,0
14,E,odd,3,-0.25
15,E,odd,3,0.5
16,E,odd,3,0
17,E,odd,3,0.25
18,E,odd,3,0.5
19,E,odd,3,0.25
20,E,odd,3,0
21,E,odd,3,0.25
22,E,odd,3,-0.25
23,E,odd,3,0.25
24,E,odd,3,0
25,E,odd,3,0.25
26,E,odd,3,-0.5
27,E,odd,3,0.5
28,E,odd,3,0
29,E,odd,3,0.5
30,E,odd,3,-0.25
31,E,odd,3,0.25
32,E,odd,3,0
33,E,odd,3,0
34,E,odd,3,0.5
35,E,odd,3,0.25
36,E,odd,3,0.25
37,E,odd,3,0.5
38,E,odd,3,0.25
39,E,odd,3,0.25
40,E,odd,3,0.75
41,E,odd,3,0.25
42,E,odd,3,0.25
43,E,odd,3,0
44,E,odd,3,0
45,E,odd,3,0.5
46,E,odd,3,0.666666666666667
47,E,odd,3,0.75
48,E,odd,3,0
49,E,odd,3,0.25
50,E,odd,3,0
51,E,odd,3,0
52,E,odd,3,0.333333333333333
53,E,odd,3,0.5
54,E,odd,3,-0.25
55,E,odd,3,-0.5
56,E,odd,3,0.25
57,E,odd,3,-0.25
58,E,odd,3,0.5
59,E,odd,3,0.25
60,E,odd,3,0.25
61,E,odd,3,0.25
62,E,odd,3,0.5
63,E,odd,3,0.25
64,E,odd,3,0.75
65,E,odd,3,-0.333333333333333
66,E,odd,3,0.25
67,E,odd,3,0
68,E,odd,3,-0.25
69,E,odd,3,0.25
70,E,odd,3,0
71,E,odd,3,0.75
72,E,odd,3,0.5
73,E,odd,3,0
74,E,odd,3,-0.25
75,E,odd,3,-0.5
4,E,p1,3,0.5
5,E,p1,3,0
6,E,p1,3,0.25
7,E,p1,3,0
9,E,p1,3,-0.25
10,E,p1,3,0
11,E,p1,3,0
12,E,p1,3,-0.5
14,E,p1,3,0.25
15,E,p1,3,0.25
16,E,p1,3,-0.5
17,E,p1,3,0.5
18,E,p1,3,0.25
19,E,p1,3,0.5
20,E,p1,3,0
21,E,p1,3,0.5
22,E,p1,3,-0.25
23,E,p1,3,-0.5
24,E,p1,3,-0.25
25,E,p1,3,-0.25
26,E,p1,3,-0.5
27,E,p1,3,0.5
28,E,p1,3,-0.25
29,E,p1,3,0
30,E,p1,3,-0.75
31,E,p1,3,-0.25
32,E,p1,3,0
33,E,p1,3,-0.75
34,E,p1,3,0.25
35,E,p1,3,0
36,E,p1,3,0
37,E,p1,3,-0.25
38,E,p1,3,0.5
39,E,p1,3,0
40,E,p1,3,0
41,E,p1,3,-0.25
42,E,p1,3,0.5
43,E,p1,3,-0.25
44,E,p1,3,0.25
45,E,p1,3,-0.5
46,E,p1,3,0.333333333333333
47,E,p1,3,0.25
48,E,p1,3,0.5
49,E,p1,3,-0.25
50,E,p1,3,0
51,E,p1,3,-0.25
52,E,p1,3,0.333333333333333
53,E,p1,3,-0.25
54,E,p1,3,-0.75
55,E,p1,3,-0.75
56,E,p1,3,0.5
57,E,p1,3,-0.5
58,E,p1,3,-0.25
59,E,p1,3,0
60,E,p1,3,-0.5
61,E,p1,3,-0.25
62,E,p1,3,0.25
63,E,p1,3,0
64,E,p1,3,0.75
65,E,p1,3,-0.666666666666667
66,E,p1,3,0.25
67,E,p1,3,-0.25
68,E,p1,3,-0.75
69,E,p1,3,0.25
70,E,p1,3,0
71,E,p1,3,0.25
72,E,p1,3,0
73,E,p1,3,-0.25
74,E,p1,3,0
75,E,p1,3,-0.75
4,P,m2,3,0
5,P,m2,3,0.5
6,P,m2,3,0.25
7,P,m2,3,-0.5
9,P,m2,3,0
10,P,m2,3,0.25
11,P,m2,3,-0.25
12,P,m2,3,0.75
14,P,m2,3,0.25
15,P,m2,3,-0.25
16,P,m2,3,0
17,P,m2,3,0.25
18,P,m2,3,0.25
19,P,m2,3,-0.25
20,P,m2,3,0.5
21,P,m2,3,0
22,P,m2,3,0
23,P,m2,3,0.25
24,P,m2,3,0
25,P,m2,3,0.333333333333333
26,P,m2,3,0.25
27,P,m2,3,0.25
28,P,m2,3,0
29,P,m2,3,0.25
30,P,m2,3,0.25
31,P,m2,3,0.5
32,P,m2,3,0.75
33,P,m2,3,-0.25
34,P,m2,3,-1
35,P,m2,3,-0.25
36,P,m2,3,0.25
37,P,m2,3,0.75
38,P,m2,3,-0.25
39,P,m2,3,-0.25
40,P,m2,3,0.5
41,P,m2,3,-0.25
42,P,m2,3,-0.25
43,P,m2,3,-0.25
44,P,m2,3,0.75
45,P,m2,3,0
46,P,m2,3,-0.25
47,P,m2,3,0
48,P,m2,3,-0.25
49,P,m2,3,-0.25
50,P,m2,3,0
51,P,m2,3,0
52,P,m2,3,-0.25
53,P,m2,3,0.5
54,P,m2,3,0
55,P,m2,3,-0.75
56,P,m2,3,0
57,P,m2,3,0.5
58,P,m2,3,0
59,P,m2,3,-0.25
60,P,m2,3,0
61,P,m2,3,0.25
62,P,m2,3,-0.75
63,P,m2,3,0.5
64,P,m2,3,-0.5
65,P,m2,3,-0.25
66,P,m2,3,0
67,P,m2,3,0.25
68,P,m2,3,0.75
69,P,m2,3,-0.25
70,P,m2,3,0.5
71,P,m2,3,0.5
72,P,m2,3,-0.5
73,P,m2,3,0.25
74,P,m2,3,-0.25
75,P,m2,3,-0.25
4,P,m1,3,0
5,P,m1,3,0.75
6,P,m1,3,0.5
7,P,m1,3,0
9,P,m1,3,0
10,P,m1,3,0.25
11,P,m1,3,-0.5
12,P,m1,3,0
14,P,m1,3,0
15,P,m1,3,-0.25
16,P,m1,3,0
17,P,m1,3,-0.5
18,P,m1,3,0
19,P,m1,3,-0.25
20,P,m1,3,0
21,P,m1,3,-0.25
22,P,m1,3,-0.25
23,P,m1,3,0.25
24,P,m1,3,0
25,P,m1,3,0.333333333333333
26,P,m1,3,-0.25
27,P,m1,3,0.5
28,P,m1,3,-0.5
29,P,m1,3,0.25
30,P,m1,3,0
31,P,m1,3,0
32,P,m1,3,0.5
33,P,m1,3,0
34,P,m1,3,-0.75
35,P,m1,3,-0.25
36,P,m1,3,0.25
37,P,m1,3,0.75
38,P,m1,3,0
39,P,m1,3,0
40,P,m1,3,0.75
41,P,m1,3,-0.25
42,P,m1,3,-0.25
43,P,m1,3,-0.25
44,P,m1,3,0.75
45,P,m1,3,0
46,P,m1,3,0
47,P,m1,3,-0.25
48,P,m1,3,0
49,P,m1,3,0
50,P,m1,3,-0.5
51,P,m1,3,0
52,P,m1,3,-0.5
53,P,m1,3,0.5
54,P,m1,3,0
55,P,m1,3,-0.5
56,P,m1,3,-0.5
57,P,m1,3,0.25
58,P,m1,3,0.5
59,P,m1,3,-0.5
60,P,m1,3,0
61,P,m1,3,0.5
62,P,m1,3,-0.5
63,P,m1,3,0.25
64,P,m1,3,0
65,P,m1,3,-0.25
66,P,m1,3,-0.75
67,P,m1,3,0.5
68,P,m1,3,0.25
69,P,m1,3,0
70,P,m1,3,0.25
71,P,m1,3,0.75
72,P,m1,3,0.25
73,P,m1,3,0.25
74,P,m1,3,0
75,P,m1,3,-0.5
4,P,odd,3,0
5,P,odd,3,0.5
6,P,odd,3,0
7,P,odd,3,-0.25
9,P,odd,3,0.666666666666667
10,P,odd,3,0.25
11,P,odd,3,0
12,P,odd,3,0.25
14,P,odd,3,0.25
15,P,odd,3,0.5
16,P,odd,3,0
17,P,odd,3,0.25
18,P,odd,3,0
19,P,odd,3,0
20,P,odd,3,0.75
21,P,odd,3,-0.25
22,P,odd,3,0.25
23,P,odd,3,0.25
24,P,odd,3,0
25,P,odd,3,0
26,P,odd,3,-0.25
27,P,odd,3,0.25
28,P,odd,3,-0.5
29,P,odd,3,0.5
30,P,odd,3,0
31,P,odd,3,0
32,P,odd,3,0.75
33,P,odd,3,-0.25
34,P,odd,3,0
35,P,odd,3,0.25
36,P,odd,3,0.25
37,P,odd,3,0.5
38,P,odd,3,0
39,P,odd,3,-0.25
40,P,odd,3,0.5
41,P,odd,3,0.25
42,P,odd,3,0.25
43,P,odd,3,0.25
44,P,odd,3,1
45,P,odd,3,0.5
46,P,odd,3,0.25
47,P,odd,3,0.25
48,P,odd,3,0
49,P,odd,3,-0.5
50,P,odd,3,0
51,P,odd,3,-0.5
52,P,odd,3,-0.5
53,P,odd,3,0.5
54,P,odd,3,0
55,P,odd,3,-0.25
56,P,odd,3,-0.25
57,P,odd,3,0
58,P,odd,3,0.75
59,P,odd,3,0
60,P,odd,3,0.25
61,P,odd,3,0.75
62,P,odd,3,-0.5
63,P,odd,3,0
64,P,odd,3,-0.25
65,P,odd,3,-0.25
66,P,odd,3,0.25
67,P,odd,3,0
68,P,odd,3,0.75
69,P,odd,3,0.25
70,P,odd,3,0.25
71,P,odd,3,0
72,P,odd,3,0
73,P,odd,3,0
74,P,odd,3,0.25
75,P,odd,3,-0.25
4,P,p1,3,0
5,P,p1,3,0.25
6,P,p1,3,0
7,P,p1,3,-0.5
9,P,p1,3,0
10,P,p1,3,-0.25
11,P,p1,3,-0.5
12,P,p1,3,0.25
14,P,p1,3,-0.25
15,P,p1,3,0
16,P,p1,3,0
17,P,p1,3,0
18,P,p1,3,0.25
19,P,p1,3,0.25
20,P,p1,3,0.25
21,P,p1,3,0.25
22,P,p1,3,-0.25
23,P,p1,3,0
24,P,p1,3,0
25,P,p1,3,0.666666666666667
26,P,p1,3,-0.25
27,P,p1,3,0.25
28,P,p1,3,-0.25
29,P,p1,3,0.5
30,P,p1,3,0.25
31,P,p1,3,0
32,P,p1,3,-0.25
33,P,p1,3,-0.25
34,P,p1,3,-0.75
35,P,p1,3,0
36,P,p1,3,0.25
37,P,p1,3,0.75
38,P,p1,3,-0.5
39,P,p1,3,0
40,P,p1,3,0.75
41,P,p1,3,0
42,P,p1,3,-0.5
43,P,p1,3,0
44,P,p1,3,0
45,P,p1,3,-0.5
46,P,p1,3,-0.25
47,P,p1,3,-0.25
48,P,p1,3,0
49,P,p1,3,-0.5
50,P,p1,3,-0.25
51,P,p1,3,0
52,P,p1,3,0
53,P,p1,3,-0.25
54,P,p1,3,0.25
55,P,p1,3,0
56,P,p1,3,-0.25
57,P,p1,3,0.25
58,P,p1,3,0.75
59,P,p1,3,0
60,P,p1,3,0.25
61,P,p1,3,0.5
62,P,p1,3,-1
63,P,p1,3,0.25
64,P,p1,3,0
65,P,p1,3,-0.75
66,P,p1,3,-0.5
67,P,p1,3,-0.25
68,P,p1,3,0.5
69,P,p1,3,0
70,P,p1,3,0.25
71,P,p1,3,0
72,P,p1,3,0
73,P,p1,3,0.25
74,P,p1,3,-0.25
75,P,p1,3,-0.25
